Aktie,Makro,Ticker,Korr@Lag0,Bester Lag,Max |Korr|,Korrelation,Richtung
SIE,USD/JPY,JPY=X,0.774,0,0.774,0.774,positiv
SIE,GBP/USD,GBPUSD=X,-0.631,12,0.719,-0.719,negativ
SIE,EUR/USD,EURUSD=X,-0.561,12,0.684,-0.684,negativ
SIE,Kupfer,HG=F,0.677,0,0.677,0.677,positiv
SIE,Silber,SI=F,0.659,0,0.659,0.659,positiv
SIE,USD/CHF,CHF=X,-0.654,0,0.654,-0.654,negativ
SIE,Palladium,PA=F,0.559,12,0.568,0.568,positiv
SIE,Erdgas,NG=F,-0.375,12,0.437,-0.437,negativ
SIE,Platin,PL=F,-0.063,12,0.416,-0.416,negativ
SIE,US 5J Rendite,^FVX,0.218,0,0.218,0.218,positiv
SIE,Brent Rohöl,BZ=F,-0.155,4,0.202,-0.202,negativ
SIE,US 30J Rendite,^TYX,-0.01,12,0.195,-0.195,negativ
SIE,VIX,^VIX,-0.117,1,0.118,-0.118,negativ
SIE,USD/CNY,CNY=X,-0.09,12,0.098,-0.098,negativ
SIE,US 10J Rendite,^TNX,0.089,0,0.089,0.089,positiv
SIE,WTI Rohöl,CL=F,-0.02,4,0.06,-0.06,negativ
